,query,lemma,text
0,отопление,"['слово', 'сегодня', 'сложиться', 'подход', 'отключение', 'отопление', 'снижение', 'температура', 'батарея', 'зависеть', 'реальный', 'погодный', 'условие', 'календарный', 'срок', 'либо', 'формальный', 'показатель', 'подчеркнуть', 'чернышов', 'подход', 'соответствовать', 'современный', 'реалия', 'разработать', 'чёткий', 'критерий', 'отключение', 'отопление', 'учитывать', 'среднесуточный', 'температура', 'прогноз', 'синоптик', 'особенность', 'тепловой', 'сеть', 'разный', 'регион', 'цитировать', 'чернышов', 'риа', 'новость', 'ранее', 'общественный', 'деятель', 'эксперт', 'жкх', 'дмитрий', 'бондарить', 'беседа', 'rt', 'дать', 'совет', 'случай', 'подача', 'тепло', 'окончание', 'сезон', 'отопление', 'также', 'сообщаться', '2025', 'год', '600', 'московский', 'дом', 'заменить', 'система', 'отопление']","По его словам, сегодня сложился подход, когда отключение отопления или снижение температуры батарей зависит не от реальных погодных условий, а от календарных сроков либо каких-то формальных показателей. При этом, подчеркнул Чернышов, такой подход не соответствует современным реалиям. «...мы разработаем чёткие критерии отключения отопления, учитывающие не только среднесуточные температуры, но и прогнозы синоптиков, особенности тепловых сетей в разных регионах», — цитирует Чернышова РИА Новости. Ранее общественный деятель, эксперт по ЖКХ Дмитрий Бондарь в беседе с RT дал советы в случае подачи тепла после окончания сезона отопления . Также сообщалось, что в 2025 году более чем в 600 московских домах заменят системы отопления ."
1,отопление,"['отметить', 'ход', 'отопительный', 'сезон', 'встречаться', 'аномально', 'тёплый', 'день', 'человек', 'просить', 'отключить', 'отопление', 'однако', 'подчеркнуть', 'колун', 'правило', 'следовать', 'заморозок', 'проблема', 'отключение', 'отопление', 'необходимо', 'отключать', 'насос', 'котельная', 'отключать', 'насос', 'система', 'падать', 'давление', 'оно', 'падать', 'происходить', 'завоздушивание', 'завести', 'отопление', 'заново', 'необходимо', 'завоздушивание', 'устранить', 'весь', 'сеть', 'цитировать', 'депутат', 'риа', 'новость', 'колун', 'подчеркнуть', 'мероприятие', 'проводиться', 'порядок', 'неделя', 'ранее', 'сообщаться', 'госдума', 'разработать', 'критерий', 'отключение', 'отопление', 'жилой', 'дом', 'россия', 'поздний', 'зампред', 'комитет', 'госдума', 'строительство', 'жкх', 'светлана', 'разворотнев', 'комментировать', 'предложение', 'подчеркнуть', 'беседа', 'rt', 'необходимый', 'параметр', 'существовать']","Он отметил, что иногда в ходе отопительного сезона встречаются аномально тёплые дни и люди просят отключить отопление. Однако, как подчеркнул Колунов, за ними, как правило, следуют заморозки. «Проблема в том, что при отключении отопления необходимо отключать насосы на котельных. Если мы отключаем насосы, в системе падает давление и, как только оно падает, происходит завоздушивание. И вот, чтобы «завести» отопление заново, необходимо завоздушивание устранить по всем сетям», — цитирует депутата РИА Новости. При этом Колунов подчеркнул, что такие мероприятия проводятся порядка двух недель. Ранее сообщалось, что в Госдуме разработают критерии отключения отопления в жилых домах в России . Позже зампред комитета Госдумы по строительству и ЖКХ Светлана Разворотнева, комментируя предложение, подчеркнула в беседе с RT, что уже сейчас все необходимые параметры существуют ."
2,отопление,"['казаться', 'практически', 'критерий', 'существовать', 'первый', 'очередь', 'это', 'действительно', 'санитарный', 'норма', 'который', 'говорить', 'отопление', 'должный', 'включаться', 'среднесуточный', 'температура', 'менее', '8', 'соответственно', 'выключаться', 'температура', 'превышать', '8', 'далёкий', 'решение', 'зависеть', 'региональный', 'власть', 'напомнить', 'депутат', 'разворотнев', 'добавить', 'мочь', 'включать', 'ранний', 'средство', 'готовый', 'источник', 'теплоснабжение', 'труба', 'дом', 'никакой', 'проблема', 'ремонт', 'мочь', 'включать', 'ранний', 'правило', 'это', 'делать', 'касаться', 'отключение', 'технологический', 'момент', 'определяться', 'жарко', 'действительно', 'прогноз', 'очень', 'часто', 'практически', 'учитываться', 'отметить', 'кроме', 'подчеркнуть', 'парламентарий', 'власть', 'принимать', 'решение', 'понимать', 'отключить', 'простой', 'включить', 'снова', 'повторный', 'включение', 'требоваться', 'дополнительный', 'гидравлический', 'испытание', 'возможно', 'труба', 'зима', 'выдержать', 'повышенный', 'напор', 'начало', 'заключить', 'собеседница', 'rt', 'ранее', 'вица', 'спикер', 'госдума', 'борис', 'чернышов', 'лдпр', 'предложить', 'разработать', 'критерий', 'отключение', 'отопление', 'учитывать', 'прогноз', 'синоптик', 'слово', 'сегодня', 'сложиться', 'подход', 'отключение', 'отопление', 'снижение', 'температура', 'батарея', 'зависеть', 'реальный', 'погодный', 'условие', 'календарный', 'срок', 'либо', 'формальный', 'показатель', 'подчеркнуть', 'чернышов', 'подход', 'соответствовать', 'современный', 'реалия']","«Мне кажется, что практически все критерии существуют. В первую очередь это действительно санитарные нормы, которые говорят о том, что отопление должно включаться, если среднесуточная температура менее 8 °С, и, соответственно, выключаться, если, опять же, эта температура превышает эти 8 °С. Дальше уже решения зависят от региональных властей», — напомнила депутат. Разворотнева добавила, что они могут включать и раньше, если у них есть средства. «Если у них готовы источники теплоснабжения, трубы, дома, то есть никаких проблем нет с ремонтами, они могут включать раньше, как правило, они это и делают. А что касается отключения, то тут тоже больше технологическими моментами определяется. Да, сейчас жарко, но, действительно, прогноз очень часто, практически всегда учитывается», — отметила она. Кроме того, как подчеркнула парламентарий, власти, принимая решение, понимают, что отключить проще, чем включить снова. «Потому что перед повторным включением требуются дополнительные гидравлические испытания, возможно, трубы после зимы не выдержат повышенного напора в самом начале», — заключила собеседница RT. Ранее вице-спикер Госдумы Борис Чернышов (ЛДПР) предложил разработать критерии отключения отопления, учитывающие прогнозы синоптиков. По его словам, сегодня сложился подход, когда отключение отопления или снижение температуры батарей зависит не от реальных погодных условий, а от календарных сроков либо каких-то формальных показателей. При этом, подчеркнул Чернышов, такой подход не соответствует современным реалиям."
3,отопление,"['весна', 'год', 'выдаться', 'тёплый', 'некоторый', 'дом', 'температура', 'подниматься', 'дискомфорт', 'особенно', 'многоэтажка', 'плотный', 'остекление', 'человек', 'открывать', 'окно', 'пытаться', 'охладить', 'помещение', 'это', 'лишь', 'временной', 'безопасный', 'решение', 'особенно', 'это', 'касаться', 'семья', 'маленький', 'ребёнок', 'пожилой', 'человек', 'который', 'резкий', 'перепад', 'температура', 'мочь', 'навредить', 'рассказать', 'собеседник', 'rt', 'добавить', 'отопление', 'работать', 'несмотря', 'официальный', 'дата', 'отключение', 'первый', 'дело', 'стоить', 'связаться', 'управлять', 'компания', 'реакция', 'потребоваться', 'переходить', 'весомый', 'мера', 'письменный', 'обращение', 'иметь', 'юридический', 'сила', 'нужно', 'чётко', 'описать', 'ситуация', 'дата', 'адрес', 'температура', 'квартира', 'возможность', 'замер', 'описание', 'дискомфорт', 'обращение', 'желательно', 'зарегистрировать', 'официально', 'электронный', 'почта', 'управлять', 'компания', 'подтверждение', 'получение', 'лично', 'подпись', 'второй', 'экземпляр', 'объяснить', 'бондарить', 'также', 'рассказать', 'делать', 'квитанция', 'апрель', 'указать', 'плата', 'полный', 'услуга', 'отопление', 'законодательство', 'предусматривать', 'возможность', 'перерасчёт', 'необходимо', 'зафиксировать', 'факт', 'подача', 'тепло', 'официальный', 'дата', 'завершение', 'сезон', 'идеально', 'удаться', 'добиться', 'составление', 'акт', 'управлять', 'компания', 'зафиксировать', 'отопление', 'продолжать', 'подаваться', 'компания', 'идти', 'навстречу', 'привлечь', 'жилищный', 'инспекция', 'роспотребнадзор', 'проверка', 'шанс', 'добиться', 'пересмотр', 'начисление', 'существенно', 'возрастать', 'пояснить', 'специалист', 'слово', 'главное', 'ограничиваться', 'звонок', 'добиваться', 'официальный', 'фиксация', 'ситуация', 'диалог', 'управлять', 'организация', 'возможный', 'разбирательство', 'контролировать', 'инстанция', 'проходить', 'основа', 'документальный', 'факт', 'заключить', 'бондарить', 'ранее', 'губернатор', 'московский', 'область', 'андрей', 'воробей', 'объявить', 'завершение', 'регион', 'отопительный', 'сезон', '21', 'апрель', 'начаться', 'работа', 'прекращение', 'подача', 'тепло', 'дом']","«Весна в этом году выдалась тёплой, и в некоторых домах температура поднимается до дискомфорта, особенно в многоэтажках с плотным остеклением. Люди открывают окна, пытаясь охладить помещение, но это лишь временное и не всегда безопасное решение. Особенно это касается семей с маленькими детьми и пожилыми людьми, которым резкие перепады температуры могут навредить», — рассказал собеседник RT. Он добавил, что, если отопление работает, несмотря на официальную дату отключения, первым делом стоит связаться с управляющей компанией. «Если реакции нет — потребуется переходить к более весомым мерам. Письменное обращение имеет юридическую силу. В нём нужно чётко описать ситуацию: дата, адрес, температура в квартире (по возможности — с замерами), описание дискомфорта. Обращение желательно зарегистрировать официально — через электронную почту управляющей компании с подтверждением получения или лично, с подписью на втором экземпляре», — объяснил Бондарь. Он также рассказал, что делать, если в квитанции за апрель указана плата за полную услугу отопления. «Законодательство предусматривает возможность перерасчёта. Но для этого необходимо зафиксировать факт подачи тепла после официальной даты завершения сезона. Идеально — если удастся добиться составления акта от управляющей компании, где будет зафиксировано, что отопление продолжает подаваться. Если же компания не идёт навстречу, можно привлечь жилищную инспекцию или Роспотребнадзор. После их проверки шансы добиться пересмотра начислений существенно возрастают», — пояснил специалист. По его словам, главное — не ограничиваться звонками, а добиваться официальной фиксации ситуации. Тогда и диалог с управляющей организацией, и возможное разбирательство в контролирующих инстанциях будут проходить уже на основе документальных фактов, заключил Бондарь. Ранее губернатор Московской области Андрей Воробьёв объявил о завершении в регионе отопительного сезона . С 21 апреля начнутся работы по прекращению подачи тепла в дома."
4,отопление,"['гражданин', 'должный', 'оплачивать', 'избыточный', 'тепло', 'который', 'фактически', 'требоваться', 'ранний', 'наступление', 'тёплый', 'погода', 'цитировать', 'сенатор', 'риа', 'новость', 'слово', 'отопление', 'отключить', 'апрель', 'майский', 'платёж', 'должный', 'отражать', 'это', 'изменение', 'соответственно', 'маленький', 'ранее', 'вица', 'спикер', 'госдума', 'борис', 'чернышов', 'лдпр', 'предложить', 'разработать', 'критерий', 'отключение', 'отопление', 'учитывать', 'прогноз', 'синоптик', 'поздний', 'зампред', 'комитет', 'госдума', 'строительство', 'жкх', 'светлана', 'разворотнев', 'комментировать', 'данный', 'предложение', 'подчеркнуть', 'беседа', 'rt', 'необходимый', 'параметр', 'существовать']","«Граждане не должны оплачивать избыточное тепло, которое им фактически не требовалось из-за раннего наступления тёплой погоды», — цитирует сенатора РИА Новости. По его словам, если отопление было отключено в апреле, то майские платежи должны отражать это изменение и быть, соответственно, меньше. Ранее вице-спикер Госдумы Борис Чернышов (ЛДПР) предложил разработать критерии отключения отопления, учитывающие прогнозы синоптиков. Позже зампред комитета Госдумы по строительству и ЖКХ Светлана Разворотнева, комментируя данное предложение, подчеркнула в беседе с RT, что уже сейчас все необходимые параметры существуют ."
5,отопление,"['касаться', 'многоквартирный', 'дом', 'действовать', 'законодательство', 'предусматривать', 'особый', 'порядок', 'который', 'регламентировать', 'процедура', 'установление', 'бытовой', 'кондиционер', 'установка', 'бытовой', 'кондиционер', 'требовать', 'регистрация', 'перепланировка', 'помещение', 'переустройство', 'поэтому', 'требоваться', 'разрешение', 'сторона', 'орган', 'власть', 'рассказать', 'юрист', 'однако', 'напомнить', 'некоторый', 'случай', 'установка', 'кондиционер', 'квартира', 'создать', 'неудобство', 'жилец', 'дом', 'это', 'отвод', 'конденсат', 'который', 'начинать', 'капать', 'это', 'превышение', 'допустимый', 'уровень', 'шум', 'нависание', 'конструкция', 'окно', 'балкон', 'правило', 'регламентироваться', 'технический', 'норматив', 'например', 'приказ', 'минрегион', '29', '12', '2011', '635', '17', 'который', 'утвердить', 'снип', 'отопление', 'вентиляция', 'кондиционирование', 'снип', 'соответствие', 'постановление', 'госстрой', 'принять', 'основной', 'нормативный', 'акт', 'который', 'принцип', 'неплохо', 'изучить', 'почитать', 'отметить', 'соловей', 'вместе', 'собеседник', 'rt', 'посоветовать', 'просмотреть', 'законодательство', 'свой', 'регион', 'город', 'установка', 'кондиционер', 'поскольку', 'правовой', 'акт', 'содержаться', 'прямой', 'запрет', 'установка', 'блок', 'фасад', 'здание', 'специалист', 'также', 'рассказать', 'нюанс', 'установка', 'кондиционер', 'случай', 'проживание', 'дом', 'объект', 'культурный', 'наследие', 'знать', 'запрет', 'установка', 'кондиционер', 'лицевой', 'фасад', 'здание', 'отнести', 'объект', 'культурный', 'наследие', 'лицевой', 'фасад', 'rt', 'выходить', 'улица', 'площадь', 'просматривать', 'территория', 'набережный', 'территория', 'зелёный', 'насаждение', 'акватория', 'водный', 'объект', 'далее', 'рассказать', 'соловей', 'также', 'специалист', 'добавить', 'правило', 'городской', 'архитектурный', 'служба', 'выпускать', 'соответствующий', 'разъяснение', 'сайт', 'брошюра', 'ранее', 'россиянин', 'дать', 'совет', 'случай', 'подача', 'тепло', 'окончание', 'сезон', 'отопление', 'подробный', 'материал', 'rt']","«Что касается многоквартирного дома, у нас действующее законодательство не предусматривает какого-то особого порядка, который бы регламентировал процедуру установления бытового кондиционера. Установка бытового кондиционера не требует регистрации, перепланировки помещения и переустройства, поэтому и не требуется разрешение со стороны органов власти», — рассказал юрист. Однако он напомнил, что в некоторых случаях установка кондиционера в квартире может создать неудобства другим жильцам дома. «Это отвод конденсата, который начинает капать, это превышение допустимого уровня шума или нависание конструкции над окном или балконом. Эти правила регламентируются техническими нормативами. Например, есть приказ Минрегиона 29.12.2011 №635/17, которым утверждён СНиП отопления, вентиляции и кондиционирования. Этот СНиП в соответствии с постановлением Госстроя принят. Вот основные нормативные акты, которые, в принципе, неплохо было бы изучить и почитать», — отметил Соловьёв. Вместе с тем собеседник RT посоветовал просмотреть законодательство своего региона и города перед установкой кондиционера, поскольку в этих правовых актах может содержаться прямой запрет на установку блоков на фасадах зданий. Специалист также рассказал о нюансах установки кондиционера в случае проживания в доме — объекте культурного наследия. «Мы знаем, что есть запрет на установку кондиционеров на лицевых фасадах зданий, отнесённых к объектам культурного наследия... Лицевой (фасад. — RT ) выходит на улицу, на площадь, просматриваемый с территории набережных, территории зелёных насаждений, акваторий, водных объектов и так далее», — рассказал Соловьёв. Также специалист добавил, что, как правило, городские архитектурные службы выпускают соответствующие разъяснения на сайтах или брошюры. Ранее россиянам дали советы на случай подачи тепла после окончания сезона отопления. Подробнее — в материале RT."
6,отопление,"['сообщать', 'риа', 'новость', 'отмечаться', 'обстановка', 'город', 'спокойный', 'дым', 'смог', 'ранее', 'сообщаться', 'киржачский', 'район', 'владимирский', 'область', 'отключить', 'сразу', 'несколько', 'котельная', 'приостановка', 'горячее', 'водоснабжение', 'отопление', 'затронуть', '12', '3', 'тыс', 'житель', '12', 'социальный', 'объект', 'школа', 'образовательный', 'учреждение', 'киржачский', 'район', 'владимирский', 'область', '23', 'апрель', 'работать', 'детонация', 'склад', 'боеприпас']","Об этом сообщает РИА Новости . Отмечается, что обстановка в городе спокойная, дыма или смога нет. Ранее сообщалось, что в Киржачском районе Владимирской области отключили сразу несколько котельных , приостановка горячего водоснабжения и отопления затронула 12,3 тыс. жителей и 12 социальных объектов. Школы и другие образовательные учреждения Киржачского района Владимирской области 23 апреля не работают из-за детонации на складе боеприпасов."
7,отопление,"['вместо', 'обещать', 'безопасность', 'стабильность', 'регион', 'погружаться', 'энергетический', 'хаос', 'грозить', 'экономический', 'крах', 'говориться', 'материал', 'отмечать', 'издание', 'страна', 'балтия', 'выйти', 'брэлла', 'сделать', 'выбор', 'польза', 'поставка', 'энергетика', 'норвегия', 'швеция', 'биржа', 'nord', 'pool', 'столкнуться', 'шокировать', 'цена', 'польша', 'прибалтика', 'наблюдаться', 'резкий', 'скачок', 'цена', 'электроэнергия', 'отопление', 'следовать', 'статья', '8', 'февраль', 'латвия', 'литва', 'эстония', 'выйти', 'единый', 'энергетический', 'кольцо', 'россия', 'белоруссия', 'поздний', 'телеканал', 'err', 'передавать', 'страна', 'балтия', 'электричество', 'стать', '60', 'дорогой', 'финляндия', 'официальный', 'представитель', 'мид', 'россия', 'мария', 'захаров', 'назвать', 'отключение', 'прибалтика', 'общий', 'энергосистема', 'брэлла', 'уничтожение', 'страна', 'регион']","«Вместо обещанной безопасности и стабильности регион погружается в энергетический хаос, грозящий экономическим крахом», — говорится в материале. Как отмечает издание, страны Балтии, вышедшие из БРЭЛЛ, сделали выбор в пользу поставок энергетики из Норвегии и Швеции через биржу Nord Pool, но столкнулись с шокирующими ценами. В Польше и Прибалтике теперь наблюдается резкий скачок цен на электроэнергию и отопление, следует из статьи. 8 февраля Латвия, Литва и Эстония вышли из единого энергетического кольца с Россией и Белоруссией. Позднее телеканал ERR передавал, что в странах Балтии электричество стало в 60 раз дороже , чем в Финляндии. Официальный представитель МИД России Мария Захарова назвала отключение Прибалтики от общей энергосистемы БРЭЛЛ уничтожением стран региона ."
8,отопление,"['информировать', 'нсн', 'согласно', 'проект', 'пятиэтажный', 'жилой', 'дом', '1880', 'год', 'постройка', 'расположить', 'район', 'арбат', 'заменить', 'инженерный', 'коммуникация', 'провести', 'восстановительный', 'ремонт', 'рассказать', 'глава', 'ведомство', 'иван', 'щербаков', 'дом', 'привести', 'порядок', 'кровля', 'отремонтировать', 'подвал', 'чердак', 'квартира', 'место', 'замена', 'коммуникация', 'локально', 'отремонтировать', 'пола', 'стена', 'потолок', 'ранее', 'сообщаться', 'москва', '600', 'многоквартирный', 'дом', 'планировать', 'заменить', 'внутридомовый', 'система', 'центральный', 'отопление', 'текущий', 'год']","Об этом информирует НСН . «Согласно проекту, в пятиэтажном жилом доме 1880 года постройки, расположенном в районе Арбат, заменят инженерные коммуникации, после чего проведут восстановительный ремонт», — рассказал глава ведомства Иван Щербаков. В доме приведут в порядок кровлю, отремонтируют подвал и чердак, а в квартирах в местах замены коммуникаций локально отремонтируют полы, стены и потолки. Ранее сообщалось, что в Москве более чем в 600 многоквартирных домах планируют заменить внутридомовые системы центрального отопления в текущем году."
9,отопление,"['слово', 'дом', 'старый', 'стоить', 'вызвать', 'электрика', 'проверка', 'длительный', 'отключение', 'отметить', 'эксперт', 'хотеть', 'отключать', 'всё', 'электричество', 'выход', 'дом', 'обязательно', 'проверить', 'розетка', 'выдернуть', 'электроприбор', 'режим', 'ожидание', 'мочь', 'расходовать', 'электроэнергия', 'представлять', 'угроза', 'безопасность', 'например', 'скачка', 'напряжение', 'отключение', 'включение', 'электричество', 'предупредить', 'специалист', 'отмечаться', 'дополнительно', 'также', 'установить', 'умный', 'система', 'мониторинг', 'который', 'позволять', 'удалённый', 'контролировать', 'состояние', 'сеть', 'уведомлять', 'скачка', 'напряжение', 'сбой', 'мобильный', 'приложение', 'возвращение', 'включать', 'электричество', 'постепенно', 'сначала', 'главный', 'автомат', 'затем', 'отдельный', 'линия', 'это', 'предотвратить', 'скачка', 'напряжение', 'проверить', 'работа', 'устройство', 'убедиться', 'запах', 'гарь', 'искрение', 'пояснить', 'специалист', 'отдельно', 'дать', 'рекомендация', 'пользоваться', 'газовый', 'плита', 'закрыть', 'кран', 'опуск', 'прибор', 'частный', 'дом', 'ввод', 'дом', 'квартира', 'перекрывать', 'кран', 'который', 'находиться', 'газовый', 'прибор', 'трогать', 'кран', 'газовый', 'стояк', 'отопление', 'функционирование', 'использоваться', 'газовый', 'котёл', 'перекрытие', 'подача', 'газ', 'повредить', 'заключить', 'власов', 'ранее', 'планировать', 'поездка', 'авто', 'майский', 'праздник', 'дать', 'совет', 'случай', 'поломка']","По его словам, если дом старый, то стоит вызвать электрика для проверки перед длительным отключением. Как отметил эксперт, если вы не хотите отключать всё электричество, то перед выходом из дома обязательно проверьте, чтобы из розеток были выдернуты все электроприборы. «Даже в режиме ожидания они могут расходовать электроэнергию и представлять угрозу безопасности, например, при скачках напряжения или отключении и включении электричества», — предупредил специалист. Отмечается, что дополнительно также лучше установить умные системы мониторинга, которые позволяют удалённо контролировать состояние сети, уведомляют о скачках напряжения или сбоях через мобильное приложение. «По возвращении включайте электричество постепенно: сначала главный автомат, затем отдельные линии. Это предотвратит скачки напряжения. Проверьте работу всех устройств и убедитесь, что нет запаха гари или искрения», — пояснил специалист. Отдельно он дал рекомендации тем, кто пользуется газовой плитой. «Закройте краны на опуске приборов, в частном доме — на вводе в дом. При этом в квартире можно перекрывать только краны, которые находятся на газовых приборах и перед ними. Трогать краны на газовых стояках нельзя. Если при отоплении и функционировании используется газовый котёл, то перекрытие подачи газа ему не повредит», — заключил Власов. Ранее планирующим поездки на авто в майские праздники дали советы в случае поломки."
